Year,Language_Pair,System,VID_avg,LVC_avg,VPC_avg,Normal_avg
17,en-cs,REFERENCE,1.595311623,1.532059706,1.584195565,1.551546226
17,en-de,REFERENCE,1.275499307,1.238502531,1.274918096,1.238613665
17,en-ru,REFERENCE,1.01301646,1.087017428,0.93221255,0.962266759
17,en-zh,REFERENCE,1.231354627,1.314085397,1.296608079,1.295140892
18,en-cs,REFERENCE,1.14790097,1.075805587,1.208002421,1.09813549
18,en-de,REFERENCE,1.198766671,0.992598775,1.001965683,1.004079625
18,en-ru,REFERENCE,1.386234491,0.817550761,1.931600079,1.424185687
18,en-zh,REFERENCE,1.154239137,1.238942568,1.140001384,1.131948828
19,en-cs,HUMAN,0.746087802,0.614905729,0.598077636,0.676219693
19,en-de,HUMAN,0.234954051,0.244775756,0.235145868,0.264254356
19,en-ru,HUMAN,0.253121462,0.290018241,0.460559309,0.546761844
19,en-zh,HUMAN,0.263510791,0.327517839,0.295960457,0.380724606
20,en-cs,HUMAN,0.471914129,0.731115564,0.599246413,0.673808
20,en-de,HUMAN-A,0.547956101,0.595665158,0.426913958,0.443178022
20,en-de,HUMAN-B,0.563146181,0.624817632,0.486756075,0.587701894
20,en-de,HUMAN-C,0.368677171,0.31342008,0.304902193,0.308384307
20,en-ru,HUMAN,0.854913631,0.6507916,0.713302928,0.674718884
20,en-zh,HUMAN-A,0.524546547,0.514229677,0.552818343,0.520745148
20,en-zh,HUMAN-B,0.62378626,0.536884149,0.505226149,0.575056471
21,en-cs,en-translator-A,0.473737659,0.434376797,0.356558269,0.338320234
21,en-cs,en-translator-B,0.35126013,0.360309669,0.311776456,0.326921151
21,en-de,en-translator-A,-0.057590884,0.153150397,-0.194879704,0.045859129
21,en-de,en-translator-C,0.125986427,0.122011397,0.112555008,0.112574314
21,en-ru,en-translator-A,0.189523054,0.349666581,0.334432841,0.245949807
21,en-ru,en-translator-B,-0.048294033,0.366880867,0.281955108,0.254412925
21,en-zh,en-translator-A,0.174852089,0.31996572,0.340361164,0.207544645
21,en-zh,en-translator-B,0.227005922,0.150302112,0.128485303,0.250482963
22,en-cs,en-translator-B,-0.293162568,-0.01442547,-0.030951289,0.03139912
22,en-cs,en-translator-C,0.207978417,0.367182419,0.349795921,0.220846598
22,en-de,en-translator-A,0.012520859,0.066748558,0.171984468,-0.007790206
22,en-de,en-translator-B,0.182557818,0.188996379,0.043291645,0.004366246
22,en-ru,en-translator-A,0.06489546,0.131320069,0.003170972,0.137836862
22,en-zh,en-translator-A,0.090604318,0.115775555,0.076954345,0.115143914
22,en-zh,en-translator-B,0.125913425,-0.190314341,-0.161028334,0.057651554
23,en-cs,Human-refA,0.294022055,0.301642975,0.277855402,0.33859254
23,en-de,Human-refA,0.316569351,0.250818129,0.281745348,0.302204203
23,en-zh,Human-refA,0.294022055,0.301642975,0.277855402,0.33859254
24,en-cs,refA,0.331295434,0.377601447,0.282771956,0.350016719
24,en-de,refA,0.242652628,0.234916511,0.18787495,0.073681362
24,en-de,refB,0.063002352,0.325761839,0.158791493,0.124481969
24,en-ru,refA,0.25014628,0.10334628,0.142029412,0.351186111
24,en-zh,refA,-0.232451534,0.167028748,0.083907798,0.202527082
